Nom,Poste_Cat,Matchs,xG,xA,KP,Drb,Dist,Def
Florian Thauvin,ATT,13,0.261,0.356,2.31,1.73,9180.0,5.0
Folarin Balogun,ATT,14,0.43799999999999994,0.0115,0.0,1.865,8856.0,2.13
Francesco Pio Esposito,ATT,13,0.14,0.02,1.0,2.57,6264.0,3.0
Francisco Calvo,ATT,14,0.0595,0.005,0.0,1.65,9720.0,6.0
Francisco Conceição,ATT,14,0.20750000000000002,0.173,2.0,2.0,7992.0,4.3
Frank Anguissa,ATT,11,0.12,0.02,0.0,1.69,9720.0,8.0
Fábio Silva,ATT,8,0.2415,0.2305,1.345,5.02,3186.0,3.645
Fábio Vieira,ATT,14,0.087,0.15000000000000002,0.5,1.685,9720.0,6.035
Gabriel Strefezza,ATT,13,0.068,0.038,1.18,1.94,8208.0,3.75
Gary Magnee,ATT,14,0.0555,0.11,2.0,1.65,9720.0,7.0
Georges Mikautadze,ATT,14,0.2565,0.057999999999999996,1.005,1.7650000000000001,9072.0,2.01
Georginio Wijnaldum,ATT,14,0.221,0.015,0.5,1.6349999999999998,9720.0,2.0
Gerard Moreno,ATT,9,0.33,0.036,0.0,2.05,7992.0,3.0
Gianluca Scamacca,ATT,10,0.3095,0.035,1.0,3.0,5184.0,1.125
Gift Orban,ATT,13,0.188,0.04,1.0,1.69,9396.0,3.0
Giorgos Masouras,ATT,14,0.165,0.045,0.34,1.645,9720.0,2.0
Giovanni Di Lorenzo,ATT,13,0.09,0.03,0.0,1.64,9720.0,3.0
Giovanni Fabbian,ATT,7,0.06,0.035,1.0,1.62,9720.0,3.0
Givairo Read,ATT,14,0.098,0.0405,0.96,2.08,7614.0,5.035
Gjivai Zechiël,ATT,14,0.213,0.253,1.42,1.69,9612.0,6.805
Gorka Guruzeta,ATT,14,0.185,0.02,1.0,1.6549999999999998,9720.0,2.45
Grady Diangana,ATT,9,0.06,0.06,1.5,2.43,6480.0,3.0
Greg Docherty,ATT,13,0.07,0.021,1.0,1.66,9720.0,7.0
Grischa Prömel,ATT,13,0.12,0.06,0.68,1.64,9720.0,6.0
Gvidas Gineitis,ATT,14,0.06,0.06,1.155,1.86,8540.31,5.1850000000000005
Gyrano Kerk,ATT,14,0.092,0.0435,1.005,1.645,9666.0,4.545
Habibou Diallo,ATT,12,0.14,0.005,0.0,1.6349999999999998,9720.0,2.875
Hakon Arnar Haraldsson,ATT,13,0.06,0.08,1.22,1.7,9504.0,3.75
Hannes Van Der Bruggen,ATT,13,0.072,0.057,0.0,1.78,8856.0,9.53
Haris Tabaković,ATT,14,0.1875,0.0225,0.5,1.815,8802.0,1.92
Harry Clarke,ATT,13,0.07,0.04,1.0,1.64,9720.0,4.56
Harry Kane,ATT,12,0.53,0.14,2.0,1.71,9720.0,2.0
Harry Wilson,ATT,13,0.1,0.1,1.03,1.69,9720.0,2.25
Harvey Barnes,ATT,12,0.08499999999999999,0.035,1.0,1.6949999999999998,9504.0,4.0
Hayden Hackney,ATT,14,0.075,0.125,2.085,1.665,9720.0,5.0
Henk Veerman,ATT,12,0.154,0.005,0.0,1.825,8748.0,1.0
Houssem Aouar,ATT,14,0.06,0.1,0.88,1.7,9450.0,3.73
Hugo Bolin,ATT,9,0.06,0.041,1.36,2.52,6156.0,4.82
Hugo Ekitiké,ATT,10,0.1545,0.0805,1.1600000000000001,1.955,8316.0,4.02
Hugo Vetlesen,ATT,7,0.611,0.054,1.07,2.03,7992.0,2.77
Hyllarion Goore,ATT,10,0.432,0.107,2.43,4.78,3073.85,4.115
Iago Aspas,ATT,7,0.129,0.175,2.69,3.23,4860.0,4.29
Ibrahim Maza,ATT,13,0.09,0.085,1.36,1.77,9612.0,4.0
Igor Jesus,ATT,12,0.1885,0.041499999999999995,1.075,2.13,7560.0,2.52
Igor Matanović,ATT,12,0.087,0.044,1.8050000000000002,1.9049999999999998,8424.0,3.375
Igor Thiago,ATT,13,0.31,0.03,1.0,1.63,9720.0,4.0
Iker Kortajarena,ATT,14,0.059000000000000004,0.022,0.0,1.6549999999999998,9720.0,3.49
Iker Luque,ATT,12,0.096,0.05,0.0,1.7650000000000001,9180.0,4.365
Ilan Kebbal,ATT,10,0.0765,0.1915,1.245,1.8649999999999998,8586.0,6.76
Ilias Sebaoui,ATT,14,0.1565,0.095,1.005,1.68,9666.0,4.67
Iliman Ndiaye,ATT,13,0.07,0.02,1.0,1.66,9720.0,6.07
Ilyas Chaira,ATT,14,0.1805,0.015,0.0,1.69,9666.0,4.52
Imrân Louza,ATT,14,0.0755,0.07,0.0,1.685,9720.0,7.54
Irakli Yegoian,ATT,14,0.194,0.1235,1.0,1.705,9666.0,7.24
Isaac Price,ATT,14,0.15050000000000002,0.115,1.705,1.66,9720.0,3.0
Isak Steiner Jensen,ATT,13,0.14,0.134,1.43,2.15,7452.0,4.03
Isi Palazón,ATT,13,0.216,0.094,1.41,1.9,8640.0,3.6
Ismael Saibari,ATT,14,0.20500000000000002,0.07,1.69,1.69,9720.0,3.875
Ismaïla Sarr,ATT,14,0.22499999999999998,0.03,0.31,1.665,9720.0,3.0
Issa Soumaré,ATT,14,0.25,0.03,1.0,1.64,9720.0,2.0
Ivan Toney,ATT,14,0.635,0.026,0.0,1.62,9720.0,1.0
Iván Romero,ATT,12,0.1675,0.0655,1.0150000000000001,1.95,8262.0,5.46
Iñaki Williams,ATT,14,0.115,0.047,0.0,1.73,9288.0,3.4
Jacen Russell Rowe,ATT,6,0.056,0.021,0.705,5.42,2916.0,3.135
Jack Hinshelwood,ATT,12,0.105,0.0735,1.0,1.725,9234.0,3.2
Jack Rudoni,ATT,14,0.191,0.068,1.635,2.0300000000000002,7830.0,3.375
Jacob Ramsey,ATT,12,0.055,0.027,0.0,1.7349999999999999,9180.0,3.5
Jacob Trenskow,ATT,14,0.166,0.1895,2.0,1.685,9720.0,4.52
Jaidon Anthony,ATT,14,0.109,0.041999999999999996,2.0,1.685,9720.0,5.18
Jakob Breum,ATT,14,0.1095,0.145,2.01,1.79,9288.0,6.0
Jakub Kamiński,ATT,14,0.08549999999999999,0.15000000000000002,1.635,1.6749999999999998,9720.0,4.02
Jakub Moder,ATT,12,0.215,0.0795,1.0,1.67,9720.0,3.23
Jamal Lowe,ATT,12,0.065,0.037500000000000006,0.5,1.6749999999999998,9612.0,2.625
James Tarkowski,ATT,14,0.095,0.005,0.0,1.64,9720.0,3.0
Jamie Leweling,ATT,14,0.057999999999999996,0.0955,1.2,1.8599999999999999,8586.0,3.5
Jason,ATT,13,0.1,0.012,0.0,1.73,9288.0,2.09
Jean Philippe Mateta,ATT,13,0.29,0.0,0.0,1.74,9180.0,3.0
Jean-Philippe Krasso,ATT,7,0.099,0.01,1.1,2.29,6912.0,2.0
Jelani Seedorf,ATT,2,0.2375,0.068,1.665,5.4399999999999995,2808.0,3.465
Jens Stage,ATT,14,0.21600000000000003,0.065,1.005,1.6349999999999998,9720.0,4.515000000000001
Jeremy Sarmiento,ATT,8,0.105,0.1,2.365,4.645,3348.0,1.4300000000000002
Jerry Afriyie,ATT,14,0.1315,0.025,0.0,1.72,9234.0,2.17
Jerry Yates,ATT,14,0.096,0.01,0.0,1.64,9504.0,1.005
Jesper Karlsson,ATT,7,0.087,0.044,1.45,3.35,4860.0,4.35
Joaquin Panichelli,ATT,14,0.21,0.015,1.0,1.65,9720.0,2.0
Joe Gelhardt,ATT,12,0.094,0.041,1.15,2.01,8046.0,3.955
Joel Ideho,ATT,9,0.1,0.075,1.01,2.03,7776.0,7.0
Johan Manzambi,ATT,14,0.2265,0.0665,0.0,1.72,9666.0,4.75
Jon Ander Olasagasti,ATT,10,0.0835,0.138,1.22,1.775,9072.0,4.165
Jonas Wind,ATT,7,0.148,0.062,1.34,2.12,7560.0,2.0
Jonathan Burkardt,ATT,9,0.362,0.01,0.0,1.79,8856.0,2.0
Jonathan Rowe,ATT,10,0.14850000000000002,0.0435,1.22,1.9249999999999998,8370.0,4.5
Jordi Liongola,ATT,14,0.060000000000000005,0.11649999999999999,1.27,1.66,9720.0,4.5
Jorge de Frutos,ATT,13,0.24,0.035,1.0,1.86,8640.0,1.41
Josh Coburn,ATT,13,0.623,0.011,0.0,1.72,9288.0,2.02
Josh Maja,ATT,11,0.157,0.022,1.0,1.98,7776.0,2.81
Joshua Kitolano,ATT,13,0.06,0.05,1.0,1.64,9720.0,7.0
João Félix,ATT,14,0.14500000000000002,0.2665,3.0149999999999997,1.75,9666.0,1.81
João Pedro,ATT,13,0.23,0.011,1.0,1.88,8640.0,2.0
Julio Enciso,ATT,13,0.205,0.142,2.0,1.77,9504.0,3.03
Julián Alvarez,ATT,11,0.24,0.07,1.29,1.91,8316.0,3.21
Julián Quiñones,ATT,14,0.515,0.07500000000000001,1.0,1.68,9720.0,3.5
Jérémie Boga,ATT,7,0.204,0.24,1.7,1.93,8532.0,1.05
Jérémy Doku,ATT,12,0.05500000000000001,0.0915,1.725,1.935,8370.0,7.58
Kai Havertz,ATT,12,0.0,0.0,0.0,2.5250000000000004,6210.0,3.78
Kaj Sierhuis,ATT,13,0.248,0.032,1.0,1.79,9072.0,3.0
Kamory Doumbia,ATT,11,0.16,0.12,2.0,1.83,8748.0,7.0
Kaoru Mitoma,ATT,12,0.11,0.0755,1.5550000000000002,1.75,9180.0,3.27
Karim Benzema,ATT,13,0.375,0.097,1.5,1.79,9612.0,1.11
Karlan Grant,ATT,9,0.24,0.11,1.0,1.62,9720.0,5.0
Keane Lewis-Potter,ATT,9,0.08,0.025,1.0,1.64,9720.0,4.0
Keinan Davis,ATT,14,0.14250000000000002,0.033,1.18,1.72,9396.0,3.21
Keisuke Goto,ATT,13,0.06,0.042,1.0,1.64,9720.0,1.23
Kenny Tete,ATT,10,0.055499999999999994,0.044,0.5,1.67,9720.0,6.0
Kevin,ATT,10,0.061,0.0305,1.075,2.065,7722.0,2.83
Kevin Mac Allister,ATT,12,0.065,0.04,0.0,1.65,9720.0,5.529999999999999
Kevin Schade,ATT,12,0.1795,0.0235,1.0,1.705,9288.0,3.145
Kevin Stöger,ATT,11,0.072,0.125,1.17,2.06,7776.0,6.25
Kevin Van Den Kerkhof,ATT,14,0.062,0.10450000000000001,1.74,1.75,9450.0,2.0
Khaled Narey,ATT,14,0.09849999999999999,0.025,0.5,1.705,9558.0,2.51
Khalid Al-Ghannam,ATT,13,0.14,0.134,2.0,1.71,9612.0,3.0
Khvicha Kvaratskhelia,ATT,13,0.665,0.107,1.27,2.3,7344.0,4.96
Khéphren Thuram,ATT,13,0.1,0.044,1.25,1.98,7992.0,3.8
Kiernan Dewsbury-Hall,ATT,13,0.16,0.05,0.0,1.68,9720.0,6.0
Kieron Bowie,ATT,14,0.22999999999999998,0.010499999999999999,0.0,1.6549999999999998,9720.0,2.425
Kiliann Sildillia,ATT,8,0.10500000000000001,0.065,0.5,1.6349999999999998,9720.0,4.0
Kingsley Coman,ATT,13,0.131,0.13,2.0,1.71,9612.0,2.81
Kjetil Borry,ATT,14,0.092,0.01,0.195,1.62,9720.0,2.925
Konstantinos Karetsas,ATT,12,0.1935,0.4275,2.085,1.7850000000000001,9018.0,5.245
Konstantinos Koulierakis,ATT,11,0.12,0.071,1.0,1.66,9720.0,3.03
Kostas Fortounis,ATT,14,0.1655,0.273,3.0,1.6949999999999998,9720.0,3.0
Kristian Hlynsson,ATT,14,0.1155,0.044,1.045,1.7349999999999999,9180.0,5.21
Kristian Thorstvedt,ATT,14,0.10500000000000001,0.045,0.5,1.66,9720.0,4.5
Kylian Mbappé,ATT,12,0.58,0.09,1.1800000000000002,1.665,9720.0,2.0
Kyriani Sabbe,ATT,13,0.11,0.162,1.06,1.75,9288.0,5.31
Kéres Masangu,ATT,14,0.11499999999999999,0.015,0.0,1.64,9720.0,7.235
