Nom,Poste_Cat,Matchs,xG,xA,KP,Drb,Dist,Def
Nathan Mbala,ATT,6,0.126,0.14,3.47,4.5,3402.0,1.07
Nathan N'Goumou,ATT,8,0.2115,0.092,1.12,2.12,7668.0,2.8200000000000003
Nathan Zeze,ATT,14,0.060000000000000005,0.01,0.0,1.65,9720.0,5.77
Nawaf Al-Habashi,ATT,11,0.12,0.05,1.06,1.72,9288.0,4.0
Nico O'Reilly,ATT,12,0.06,0.015,0.0,1.725,9720.0,3.0
Nico Paz,ATT,13,0.122,0.035,1.05,1.74,9288.0,5.0
Nicolas Rommens,ATT,8,0.098,0.175,1.76,2.94,5562.0,4.9
Nicolás Domínguez,ATT,8,0.0925,0.0675,1.0,1.97,8262.0,8.76
Nicolò Fagioli,ATT,13,0.12,0.1,2.0,1.71,9612.0,5.06
Nicolò Tresoldi,ATT,13,0.79,0.054,1.25,1.95,8100.0,2.41
Nicolò Zaniolo,ATT,13,0.093,0.218,1.45,1.66,9720.0,3.46
Nikola Krstović,ATT,13,0.53,0.088,0.86,1.81,8640.0,2.65
Nikola Vlašić,ATT,13,0.07,0.06,2.0,1.64,9720.0,6.07
Nikola Štulić,ATT,7,0.061,0.0,1.48,2.37,6588.0,1.53
Nilson Angulo,ATT,11,0.288,0.11,1.0,1.7,9720.0,3.83
Noah Naujoks,ATT,12,0.29,0.0215,1.005,1.63,9720.0,2.8049999999999997
Noe Lebreton,ATT,13,0.17,0.08,1.02,1.7,9720.0,5.0
Nolan Gillot,ATT,11,0.06,0.24,1.0,1.67,9720.0,6.0
Odsonne Édouard,ATT,13,0.271,0.045,1.22,2.25,7452.0,1.48
Odysseus Velanas,ATT,9,0.062,0.204,1.0,2.41,6696.0,4.0
Oli McBurnie,ATT,14,0.18,0.015,1.0,1.63,9720.0,1.5
Ollie Watkins,ATT,14,0.2615,0.022,1.03,1.9649999999999999,8154.0,2.08
Oluwaseun Adewumi,ATT,11,0.557,0.059,1.22,2.36,6588.0,4.44
Omar Al Soma,ATT,13,0.36,0.01,1.0,1.67,9612.0,2.69
Omari Hutchinson,ATT,13,0.059,0.08,1.02,2.24,7020.0,4.09
Othmane Maamma,ATT,13,0.093,0.071,2.57,2.3,7020.0,7.03
Oumar Diouf,ATT,1,1.843,0.043,4.29,6.65,2268.0,12.86
Ozan Kabak,ATT,13,0.09,0.02,0.0,1.64,9720.0,5.0
Pablo Durán,ATT,10,0.252,0.041499999999999995,1.3199999999999998,3.24,4860.0,1.93
Pablo Ibáñez,ATT,13,0.08,0.031,1.07,2.14,7151.14,6.07
Pablo Pagis,ATT,13,0.27,0.185,2.69,2.03,7992.0,5.0
Pablo Torre,ATT,8,0.066,0.1385,1.37,2.185,7290.0,5.245
Panos Katseris,ATT,6,0.209,0.19,1.2200000000000002,2.0549999999999997,7614.0,4.625
Paolo Fernandes,ATT,14,0.1175,0.056499999999999995,1.0,2.06,7776.0,4.0
Pape Gueye,ATT,12,0.059000000000000004,0.051,1.2200000000000002,1.74,9234.0,5.43
Pape Matar Sarr,ATT,11,0.09,0.02,0.0,1.64,9720.0,7.0
Pape Moussa Fall,ATT,14,0.2875,0.01,0.0,1.6749999999999998,9720.0,1.0
Parfait Guiagon,ATT,13,0.15,0.152,2.0,1.69,9612.0,7.0
Patrick Agyemang,ATT,13,0.297,0.073,0.84,1.77,8964.0,2.4
Patrick Brouwer,ATT,12,0.11649999999999999,0.1325,1.135,1.94,8154.0,4.455
Patrick Dorgu,ATT,10,0.07,0.060000000000000005,2.0,1.685,9720.0,5.5
Patrick Mainka,ATT,14,0.065,0.0,0.0,1.62,9720.0,3.0
Patrick Pflücke,ATT,11,0.135,0.191,1.36,1.98,8424.0,2.0
Patrik Schick,ATT,13,0.55,0.01,0.75,1.68,9720.0,1.0
Patson Daka,ATT,14,0.1625,0.010499999999999999,0.0,1.8050000000000002,9234.0,1.23
Paul Gladon,ATT,7,0.19,0.03,3.0,5.48,3024.0,0.0
Paul Nebel,ATT,13,0.184,0.095,2.0,1.7,9612.0,4.0
Paulo Dybala,ATT,8,0.27,0.098,2.775,1.92,8370.0,4.41
Pedro Porro,ATT,13,0.08,0.06,1.22,1.68,9720.0,6.0
Pere Milla,ATT,11,0.218,0.027,1.29,2.12,7452.0,3.6
Phillip Tietz,ATT,14,0.39,0.025,1.0,1.63,9720.0,3.52
Pierre Lees Melou,ATT,13,0.07,0.04,0.0,1.64,9720.0,6.59
Pieter Gerkens,ATT,14,0.0885,0.0405,1.6800000000000002,1.665,9720.0,4.17
Promise David,ATT,14,0.4535,0.016,1.065,1.7349999999999999,9234.0,3.03
Ragnar Ache,ATT,14,0.498,0.0165,1.065,1.73,9234.0,1.125
Rakan Al-Tulayhi,ATT,10,0.075,0.089,1.8199999999999998,2.2800000000000002,6804.0,3.14
Ralf Seuntjens,ATT,14,0.4255,0.163,1.79,1.72,9666.0,4.19
Ramiro Enrique,ATT,14,0.35,0.0115,0.43,1.7,9666.0,1.08
Raphael Onyedika,ATT,11,0.162,0.06,0.49,1.65,9720.0,5.66
Rasmus Højlund,ATT,14,0.113,0.025,1.0,1.665,9720.0,1.0
Rayane Bounida,ATT,8,0.106,0.2205,1.275,2.29,6912.0,4.015000000000001
Rayane Messi Tanfouri,ATT,14,0.1325,0.135,1.59,1.74,9180.0,3.23
Rhian Brewster,ATT,13,0.145,0.032,1.1,2.33,6696.0,3.0
Ricardo Pepi,ATT,10,0.49050000000000005,0.051,1.06,2.065,7668.0,3.245
Riccardo Orsolini,ATT,13,0.19,0.033,1.0,3.25,4860.0,4.68
Riccardo Sottil,ATT,10,0.059500000000000004,0.2905,1.42,2.125,7668.0,2.9450000000000003
Ricky van Wolfswinkel,ATT,7,0.35,0.02,1.0,2.55,6048.0,3.0
Rihito Yamamoto,ATT,14,0.07500000000000001,0.097,1.085,1.66,9720.0,5.93
Riley McGree,ATT,14,0.279,0.1295,1.7650000000000001,2.0949999999999998,7668.0,4.725
Ringo Meerveld,ATT,14,0.16499999999999998,0.185,2.045,1.6949999999999998,9612.0,4.87
Robert Lewandowski,ATT,10,0.1365,0.0,0.0,2.205,7344.0,2.01
Robert Mühren,ATT,8,0.508,0.023,1.7149999999999999,4.57,3510.0,0.0
Robert Navarro,ATT,10,0.0955,0.02,1.56,4.51,3942.0,5.465
Roberto Piccoli,ATT,11,0.404,0.011,0.0,1.66,9720.0,2.0
Rocco Reitz,ATT,14,0.0625,0.09,0.5,1.66,9720.0,6.5
Roger Martínez,ATT,14,0.45999999999999996,0.03,0.5,1.65,9720.0,2.0
Rolando Mandragora,ATT,11,0.058,0.03,1.27,1.79,8856.0,3.29
Romain Faivre,ATT,8,0.062,0.0725,2.835,2.035,7830.0,3.1900000000000004
Roman Yaremchuk,ATT,12,0.105,0.028999999999999998,1.0,3.735,4320.0,2.665
Romano Schmid,ATT,13,0.14,0.12,2.14,1.67,9720.0,6.07
Ross Barkley,ATT,10,0.056999999999999995,0.2155,1.1600000000000001,4.195,3737.57,5.87
Ross Sykes,ATT,14,0.075,0.02,0.5,1.67,9720.0,5.5
Ruslan Malinovskyi,ATT,13,0.13,0.085,1.95,2.17,7128.0,4.09
Ryan Merlen,ATT,3,0.16,0.091,1.14,3.41,4860.0,6.0
Ryotaro Ito,ATT,14,0.12,0.2215,3.145,1.76,9126.0,4.965
Ryoya Morishita,ATT,14,0.161,0.13,1.005,1.665,9720.0,4.5
Sadio Mané,ATT,13,0.363,0.202,3.0,1.72,9612.0,4.39
Said El Mala,ATT,14,0.4305,0.052,1.03,1.9300000000000002,8154.0,3.115
Saleh Al-Amri,ATT,6,0.0655,0.079,0.0,1.73,9180.0,7.0
Sam Lammers,ATT,13,0.319,0.065,1.08,1.64,9720.0,2.0
Sami Ouaissa,ATT,14,0.14850000000000002,0.283,2.295,1.66,9720.0,5.4
Sammie Szmodics,ATT,13,0.112,0.02,1.0,1.69,9612.0,3.0
Santiago Pierotti,ATT,14,0.077,0.0265,0.0,1.745,9072.0,6.92
Saïd Benrahma,ATT,13,0.244,0.261,3.18,1.69,9612.0,6.0
Scott Twine,ATT,14,0.1065,0.06,1.72,2.085,7722.0,5.055
Sebastian Nanasi,ATT,11,0.124,0.033,1.0,2.67,6264.0,3.29
Sebastiano Esposito,ATT,14,0.101,0.087,2.245,1.85,8748.0,4.02
Sem Scheperman,ATT,12,0.10500000000000001,0.015,0.0,1.67,9720.0,3.0
Sem Steijn,ATT,10,0.5475,0.132,1.1949999999999998,2.05,7884.0,1.7850000000000001
Sem van Duijn,ATT,14,0.478,0.09,1.2,1.845,8478.0,2.34
Senny Mayulu,ATT,9,0.16,0.084,1.53,2.59,6372.0,6.0
Serge Gnabry,ATT,10,0.2255,0.39099999999999996,1.3,2.2199999999999998,7236.0,2.165
Sergej Milinković-Savić,ATT,14,0.345,0.08499999999999999,1.0,1.645,9720.0,6.0
Serhou Guirassy,ATT,13,0.53,0.064,0.9,2.24,6912.0,2.0
Sheraldo Becker,ATT,12,0.3145,0.1585,1.65,2.07,7722.0,3.375
Shola Shoretire,ATT,14,0.068,0.0315,0.5,1.775,9234.0,3.755
Shunsuke Mito,ATT,13,0.154,0.05,1.0,1.77,9612.0,3.6
Siebe Schrijvers,ATT,12,0.085,0.1,1.21,1.855,8640.0,7.25
Silas,ATT,10,0.301,0.015,0.72,2.87,5508.0,2.7800000000000002
Sofiane Bendebka,ATT,13,0.62,0.03,0.0,1.68,9612.0,4.29
Sondre Ørjasæter,ATT,13,0.084,0.18,2.4,1.88,8532.0,4.24
Sonny Carey,ATT,14,0.0805,0.085,0.5,1.66,9720.0,4.0
Souffian El Karouani,ATT,12,0.065,0.185,2.01,1.67,9720.0,4.52
Soufiane Hetli,ATT,9,0.087,0.024,1.43,2.38,6588.0,4.74
Stanley Mills,ATT,14,0.0875,0.1275,1.195,1.71,9234.0,5.18
Stefano Moreo,ATT,14,0.075,0.0605,1.0,1.685,9720.0,3.7800000000000002
Steve Ngoura,ATT,10,0.639,0.07350000000000001,1.05,3.355,4565.075,2.45
Steven Bergwijn,ATT,13,0.07,0.06,1.01,1.64,9612.0,2.77
Stije Resink,ATT,14,0.08,0.07,1.0,1.67,9720.0,7.85
Sultan Harun,ATT,5,0.2,0.0,1.58,3.26,4860.0,4.0
Sven Mijnans,ATT,13,0.19,0.11,2.0,1.64,9720.0,4.0
Sven Simons,ATT,14,0.16999999999999998,0.0635,1.245,1.87,8496.0,5.36
Szymon Włodarczyk,ATT,3,0.09,0.0,3.33,5.07,2916.0,3.0
Takumi Minamino,ATT,13,0.197,0.052,1.17,2.01,8100.0,4.5
Tatsuhiro Sakamoto,ATT,14,0.0805,0.0975,1.06,2.0,7992.0,3.355
Teddy Okou,ATT,14,0.058,0.08549999999999999,1.08,1.8050000000000002,8748.0,4.720000000000001
Thibo Baeten,ATT,7,0.108,0.02,1.0,3.22,4860.0,4.0
Thijs Oosting,ATT,14,0.1735,0.0335,0.5,1.8050000000000002,8802.0,5.27
Thom van Bergen,ATT,14,0.532,0.113,0.85,1.64,9720.0,3.09
Thomas Van den Belt,ATT,14,0.11549999999999999,0.0645,1.315,1.8,9018.0,6.075
Tika de Jonge,ATT,13,0.091,0.06,1.6,2.15,7452.0,3.0
Tim Kleindienst,ATT,11,0.06,0.03,1.0,1.67,9720.0,2.37
Tim Lemperle,ATT,12,0.2405,0.087,1.2349999999999999,1.83,8532.0,2.6550000000000002
Tjaronn Chery,ATT,13,0.1,0.192,2.07,1.66,9720.0,4.04
Tobias Lauritsen,ATT,14,0.14500000000000002,0.035500000000000004,1.01,1.64,9720.0,1.0
Todd Cantwell,ATT,13,0.082,0.16,1.17,1.69,9720.0,7.0
Tolu Arokodare,ATT,8,0.081,0.005,0.0,1.65,9720.0,0.5
Tom Alexander Rothe,ATT,10,0.077,0.063,1.03,2.55,6197.54,4.895
Tom Reyners,ATT,14,0.08499999999999999,0.145,1.59,1.74,9162.0,3.54
Toma Bašić,ATT,12,0.085,0.025,1.06,1.86,8478.0,3.0
Tomi Horvat,ATT,9,0.18,0.2,2.22,2.44,6804.0,5.48
Tommaso Baldanzi,ATT,10,0.1755,0.07550000000000001,0.69,2.99,5454.0,5.415
Tommy Conway,ATT,13,0.33,0.091,2.0,1.68,9612.0,2.02
Toni Martínez,ATT,14,0.35950000000000004,0.04,1.0,1.745,9612.0,2.895
Tozé,ATT,14,0.16399999999999998,0.24,2.0,1.64,9720.0,4.0
Trai Hume,ATT,13,0.06,0.01,0.0,1.66,9720.0,4.0
Tristan Crama,ATT,14,0.09,0.035,0.0,1.64,9720.0,6.0
Troy Parrott,ATT,12,0.30800000000000005,0.0305,1.04,1.7,9612.0,2.75
Valentin Atangana Edoa,ATT,13,0.09,0.01,0.75,1.66,9720.0,5.35
Valentín Castellanos,ATT,14,0.2455,0.012,0.9299999999999999,1.91,8370.0,2.025
Valentín Vada,ATT,14,0.095,0.125,2.035,1.66,9720.0,5.0
Vedat Muriqi,ATT,14,0.4245,0.01,0.0,1.665,9720.0,2.01
Victor Edvardsen,ATT,14,0.0805,0.069,1.0,1.645,9720.0,2.6
Victor Muñoz,ATT,14,0.16,0.07,1.005,1.66,9720.0,3.5
Viktor Gyökeres,ATT,13,0.273,0.01,0.0,1.76,9612.0,2.0
Viktor Tsygankov,ATT,14,0.16,0.112,2.0,1.64,9720.0,2.87
Vincent Janssen,ATT,14,0.244,0.059,1.0,1.6549999999999998,9720.0,3.0
Vincenzo Grifo,ATT,11,0.064,0.143,1.34,2.08,7668.0,3.8
Vladyslav Vanat,ATT,13,0.103,0.013,0.0,1.73,9504.0,0.0
Wenderson Galeno,ATT,14,0.08,0.245,1.325,1.665,9720.0,4.48
Wesley Saïd,ATT,13,0.202,0.026,1.36,2.37,7128.0,3.21
Wilfried Kanga,ATT,12,0.14,0.020499999999999997,1.01,1.71,9558.0,0.5
Will Lankshear,ATT,14,0.46099999999999997,0.012,1.0,1.71,9504.0,2.52
Will Vaulks,ATT,6,0.057499999999999996,0.051500000000000004,1.5,2.4899999999999998,7290.0,8.97
Wilson Odobert,ATT,12,0.10250000000000001,0.056499999999999995,2.375,2.035,7830.0,6.725
Wout Weghorst,ATT,8,0.13,0.091,1.0,1.965,7992.0,1.22
Wouter Burger,ATT,14,0.077,0.257,2.3600000000000003,1.6949999999999998,9666.0,6.0
Xavi Simons,ATT,11,0.1,0.109,2.0,1.78,9720.0,4.68
Yan Diomande,ATT,14,0.096,0.4395,2.1100000000000003,1.745,9612.0,5.85
Yankuba Minteh,ATT,9,0.077,0.225,3.0,3.22,4860.0,5.62
Yann Gboho,ATT,13,0.07,0.05,2.0,1.65,9720.0,5.0
Yannick Carrasco,ATT,14,0.6,0.192,1.5,1.68,9720.0,3.0
Yannick Engelhardt,ATT,13,0.08,0.02,0.0,1.65,9720.0,6.91
Yassin Belkhdim,ATT,13,0.07,0.01,0.0,1.66,9396.0,3.6
Yassine Benzia,ATT,14,0.0605,0.2,2.01,1.6949999999999998,9612.0,4.195
Yerson Mosquera,ATT,12,0.055,0.01,0.0,1.645,9720.0,4.5
Yoann Cathline,ATT,14,0.2015,0.2,1.2650000000000001,1.87,8532.0,6.34
Younes Ebnoutalib,ATT,8,0.32,0.026500000000000003,1.04,1.685,9666.0,0.5
Younes Namli,ATT,14,0.0965,0.258,2.685,1.7349999999999999,9342.0,5.225
Younes Taha,ATT,14,0.214,0.308,2.1399999999999997,1.665,9612.0,3.21
Youssef En-Nesyri,ATT,14,0.357,0.014499999999999999,0.5,1.67,9720.0,2.0
Youssef Maziz,ATT,13,0.13,0.256,3.33,1.79,9504.0,4.44
Yuki Ohashi,ATT,12,0.26,0.0505,0.0,1.66,9720.0,2.5
Yéremy Pino,ATT,7,0.178,0.185,3.05,2.51,6372.0,6.16
Zakaria El Ouahdi,ATT,13,0.16,0.05,2.0,1.66,9720.0,6.0
Zeki Amdouni,ATT,8,0.144,0.0975,1.9900000000000002,2.39,6642.0,2.935
Zian Flemming,ATT,11,0.21,0.01,0.0,1.8,9072.0,3.21
Álex Berenguer,ATT,13,0.1,0.16,2.0,1.95,7776.0,4.15
Álvaro García,ATT,14,0.12,0.1345,1.2650000000000001,2.06,7722.0,4.484999999999999
Ángel Alarcón,ATT,13,0.296,0.123,1.85,1.86,8316.0,4.0
Éderson,ATT,11,0.11,0.04,1.0,1.66,9720.0,7.0
Óscar Gil,ATT,14,0.0895,0.025,0.42,1.67,9720.0,2.785
Žan Vipotnik,ATT,14,0.33999999999999997,0.068,0.975,2.225,7313.145,1.025
Abdel Abqar,CB,11,0.0,0.0,0.0,2.13,7560.0,3.38
Abdelmounaim Boutouil,CB,10,0.0,0.005,0.0,1.63,9720.0,8.0
Abdoulaye Faye,CB,13,0.0,0.01,0.0,1.64,9720.0,5.0
Abdukodir Khusanov,CB,11,0.0,0.0,0.0,1.66,9720.0,5.0
Abdulay Juma Bah,CB,9,0.0,0.01,0.45,1.64,9720.0,6.74
Abdulaziz Al-Swealem,CB,11,0.0,0.0,0.0,1.78,8748.0,5.0
Abdulelah Alshamary,CB,7,0.0,0.013,0.0,1.78,8964.0,5.06
Abdulkarim Darisi,CB,5,0.0,0.0,0.0,4.35,3456.0,7.26
Abdullah Al-Hafith,CB,11,0.0,0.0,0.0,1.65,9720.0,2.0
Abdullah Al-Hawsawi,CB,13,0.0,0.01,0.0,1.63,9720.0,5.0
Abdullah Al-Khaibari,CB,9,0.0,0.013,0.0,2.25,7236.0,3.0
Abdullah Al-Shanqiti,CB,7,0.0,0.0,0.0,1.64,9720.0,5.29
Abdullah Khateeb,CB,14,0.0,0.01,0.0,1.65,9720.0,5.0
Abdulmalik Al Oyayari,CB,11,0.0,0.011,0.0,1.8,8964.0,5.32
Abdulrahman Al-Dosari,CB,13,0.0,0.013,0.0,1.64,9720.0,6.67
Abdurahman Al-Dakheel,CB,12,0.0,0.0,0.0,1.6349999999999998,9720.0,5.0
Achraf Laaziri,CB,14,0.0,0.0,1.77,1.71,9450.0,7.1
Adam Marušić,CB,13,0.0,0.01,0.0,1.64,9720.0,3.76
Adam Webster,CB,11,0.0,0.01,0.0,1.66,9720.0,6.0
Ahmad Asiri,CB,10,0.0,0.0,0.0,1.64,9720.0,3.19
Ahmed Al Siyahi,CB,13,0.0,0.0,0.0,1.64,9720.0,4.0
Ahmed Bamasud,CB,14,0.0,0.01,0.0,1.64,9720.0,6.5
Aidomo Emakhu,CB,10,0.0,0.0,0.0,3.8400000000000003,4266.0,3.115
Alec Van Hoorenbeeck,CB,14,0.0,0.01,0.0,1.64,9720.0,5.0
Alejandro Catena,CB,14,0.0,0.01,0.0,1.65,9720.0,4.5
Aleksa Purić,CB,11,0.0,0.0,0.0,1.66,9720.0,10.0
Alemão,CB,7,0.0,0.0,0.0,2.23,7020.0,1.41
Alessandro Buongiorno,CB,11,0.0,0.01,0.0,1.64,9720.0,5.0
Alessandro Circati,CB,13,0.0,0.01,0.0,1.66,9720.0,3.0
Alessio Romagnoli,CB,13,0.0,0.01,0.0,1.66,9720.0,4.0
Alexandre Penetra,CB,13,0.0,0.01,0.0,1.66,9720.0,4.0
Alfie Jones,CB,13,0.0,0.01,0.0,1.64,9720.0,6.0
Alfons Sampsted,CB,11,0.0,0.013,0.0,2.0,7992.0,4.0
Ali Al-Bulaihi,CB,14,0.0,0.0,0.0,1.6349999999999998,9720.0,3.5
Ali Lajami,CB,7,0.0,0.01,0.0,2.27,7020.0,8.0
Ali Youssef,CB,12,0.0,0.005,0.0,1.6549999999999998,9720.0,3.81
Andrei Girotto,CB,14,0.0,0.01,0.0,1.64,9720.0,2.5
Andrew Omobamidele,CB,13,0.0,0.0,0.0,1.66,9720.0,4.74
Andrias Edmundsson,CB,14,0.0,0.01,0.0,1.64,9720.0,5.96
André,CB,14,0.0,0.01,0.5,1.645,9720.0,7.04
Antonio Rüdiger,CB,13,0.04,0.0,0.0,1.64,9720.0,3.0
Armel Bella-Kotchap,CB,12,0.0,0.005,0.0,1.64,9720.0,7.5
Arouna Sangante,CB,13,0.0,0.01,0.0,1.65,9720.0,4.29
Ashley Phillips,CB,14,0.0,0.0,0.0,1.6150000000000002,9720.0,2.54
Axel Disasi,CB,13,0.0,0.0,0.0,1.64,9720.0,3.0
Axel Tuanzebe,CB,12,0.0,0.0,0.0,1.625,9720.0,2.915
Aymeric Laporte,CB,12,0.0,0.01,0.0,1.6349999999999998,9720.0,3.5
Ayumu Seko,CB,14,0.0,0.01,0.0,1.64,9720.0,3.875
Aïssa Mandi,CB,11,0.0,0.01,0.0,1.66,9720.0,5.0
Bamo Meïté,CB,12,0.0,0.005,0.0,1.62,9720.0,3.5
Bart Schenkeveld,CB,12,0.0,0.0,0.0,1.65,9720.0,3.375
Bashir Humphreys,CB,11,0.0,0.01,0.0,1.64,9720.0,4.34
Ben Cabango,CB,13,0.0,0.01,0.0,1.64,9720.0,4.0
Ben Chilwell,CB,13,0.0,0.014,0.0,1.71,9180.0,6.0
Ben Davies,CB,7,0.0,0.0,0.0,1.62,9720.0,6.0
Ben Wilmot,CB,14,0.0,0.01,0.0,1.6549999999999998,9720.0,5.0
Benedikt Gimber,CB,12,0.0,0.005,0.0,1.6349999999999998,9720.0,4.43
Benjamin Nelson,CB,11,0.0,0.0,0.0,1.64,9720.0,4.52
Berat Djimsiti,CB,11,0.0,0.006,0.0,1.66,9720.0,5.25
Beñat Prados,CB,10,0.0,0.011,0.0,3.16,4860.0,6.08
Billy Mitchell,CB,12,0.0,0.0155,0.5,1.66,9666.0,5.34
Bremer,CB,12,0.0,0.005,0.0,1.65,9720.0,7.0
Brendan Chardonnet,CB,14,0.0,0.005,0.0,1.6549999999999998,9720.0,4.0
Bruno Martins Indi,CB,11,0.0,0.01,0.0,1.66,9720.0,6.0
Bryan Okoh,CB,12,0.0,0.012,0.0,1.65,9720.0,5.0
Caleb Okoli,CB,13,0.0,0.0,0.0,1.64,9720.0,4.74
Cameron Burgess,CB,14,0.0,0.01,0.0,1.64,9720.0,3.455
Cameron Pring,CB,11,0.0,0.01,0.0,1.64,9720.0,4.5
Carl Starfelt,CB,13,0.0,0.0,0.0,1.66,9720.0,4.0
Carlos Augusto,CB,12,0.0,0.015,0.0,1.66,9720.0,4.5
Carlos Baleba,CB,9,0.0,0.0,0.0,1.9,8316.0,7.26
Casper Widell,CB,14,0.0,0.01,0.0,1.64,9720.0,4.5
Cenk Özkaçar,CB,13,0.0,0.01,0.0,1.64,9720.0,5.0
Charles Pickel,CB,5,0.0,0.0,0.0,2.76,5832.0,1.67
Charlie Cresswell,CB,13,0.0,0.01,0.0,1.64,9720.0,3.0
Cheick Keita,CB,14,0.0,0.0,0.0,1.6349999999999998,9720.0,3.73
Chris Mepham,CB,9,0.0,0.01,0.0,1.63,9720.0,4.0
Chris Smalling,CB,14,0.0,0.0,0.0,1.6349999999999998,9720.0,2.0
Chrislain Matsima,CB,13,0.0,0.01,0.0,1.65,9720.0,7.0
Christiaan Ravych,CB,13,0.0,0.01,0.0,1.66,9720.0,4.78
Christian Burgess,CB,14,0.0,0.01,0.0,1.66,9720.0,3.0
Christian Ordoñez,CB,8,0.0,0.007,0.0,4.92,3294.0,3.48
Cristhian Stuani,CB,3,0.0,0.0,0.0,4.76,3348.0,0.0
Cristhoper Zambrano,CB,11,0.0,0.014,0.0,3.23,4860.0,2.54
Cristian Romero,CB,14,0.035,0.091,0.5,1.71,9720.0,7.0
Daley Blind,CB,14,0.0,0.016,0.0,1.6549999999999998,9720.0,7.0
Damion Downs,CB,9,0.0,0.0,1.12,2.17,7236.0,0.0
Damon Mirani,CB,14,0.0,0.01,0.0,1.62,9720.0,3.0
Dan Burn,CB,10,0.0,0.0,0.0,1.64,9720.0,5.0
Dan Ndoye,CB,8,0.0,0.0,0.5,3.225,4860.0,5.45
Dani Pérez,CB,13,0.0,0.01,1.0,1.64,9720.0,4.04
Daniel Jebbison,CB,11,0.0,0.01,1.25,2.35,6588.0,1.48
Daniele Ghilardi,CB,11,0.0,0.0,0.0,3.19,4860.0,5.0
Danilo Veiga,CB,14,0.0,0.0165,0.0,1.645,9720.0,5.0
Dante,CB,10,0.0,0.0,0.0,1.865,8532.0,5.35
David Affengruber,CB,11,0.0,0.01,0.0,1.64,9720.0,5.0
David Akintola,CB,3,0.0,0.0,0.0,7.24,2160.0,4.74
David Brooks,CB,9,0.0,0.013,2.0,3.25,4860.0,4.03
David Costas,CB,11,0.0,0.0,0.0,1.61,9720.0,5.0
David Min,CB,3,0.0,0.0,0.0,6.2,2484.0,2.0
David Ozoh,CB,11,0.0,0.013,0.0,2.05,7668.0,6.0
Dayann Methalie,CB,12,0.0,0.010499999999999999,0.0,1.735,9126.0,5.0
Dean Huijsen,CB,11,0.0,0.015,0.0,1.72,9720.0,3.0
Devon Koswal,CB,9,0.0,0.0,0.0,2.02,7884.0,2.0
Di'Shon Bernard,CB,14,0.0,0.01,0.235,1.66,9720.0,4.0600000000000005
Diego Llorente,CB,13,0.0,0.0,0.0,1.66,9720.0,6.0
Diego López,CB,7,0.0,0.012,0.0,4.88,3240.0,4.5
Dimitri Foulquier,CB,8,0.0,0.01,1.0,1.635,9720.0,3.35
Dion Sanderson,CB,12,0.0,0.0,0.0,1.63,9720.0,3.0
Domingos Duarte,CB,14,0.0,0.01,0.0,1.64,9720.0,4.0
Dominic Iorfa,CB,11,0.0,0.01,0.0,1.64,9720.0,4.0
Dominik Kohr,CB,13,0.0,0.011,0.0,1.66,9720.0,5.0
Dries Wouters,CB,14,0.0,0.016,0.0,1.66,9720.0,4.3
Duje Ćaleta-Car,CB,12,0.0,0.0,0.0,1.64,9720.0,4.0
Dávid Hancko,CB,11,0.0,0.01,0.0,1.65,9720.0,6.0
Edgaras Utkus,CB,14,0.0,0.0045,0.0,1.64,9720.0,5.0
Edmond Tapsoba,CB,14,0.0625,0.04,0.0,1.64,9720.0,6.0
Edu Altozano,CB,11,0.0,0.0,0.0,2.37,6804.0,7.61
Elisha Owusu,CB,12,0.0,0.01,0.0,1.645,9720.0,6.875
Enrico Delprato,CB,14,0.0,0.01,0.0,1.6349999999999998,9720.0,2.0
Eray Cömert,CB,12,0.0,0.01,0.0,1.64,9720.0,4.0
Eric García,CB,11,0.0,0.06,1.0,1.72,9720.0,5.0
Estêvão,CB,10,0.0,0.006,1.315,2.195,7452.0,3.875
Ethan Ampadu,CB,13,0.0,0.01,1.0,1.66,9720.0,8.0
Ewoud Pletinckx,CB,14,0.0,0.015,0.0,1.6349999999999998,9720.0,4.0
Ezri Konsa,CB,11,0.0,0.01,0.0,1.65,9720.0,4.0
Fali Candé,CB,7,0.0,0.0,0.0,1.79,8748.0,2.5
Federico Baschirotto,CB,13,0.0,0.01,0.0,1.63,9720.0,4.0
Fikayo Tomori,CB,13,0.0,0.01,0.0,1.76,9180.0,2.0
Filippo Terracciano,CB,13,0.0,0.01,0.0,1.64,9720.0,5.0
Finn Dahmen,CB,12,0.0,0.0,0.0,1.65,9720.0,9.5
Francis Coquelin,CB,8,0.0,0.013000000000000001,0.0,2.205,7074.0,3.895
Frank Magri,CB,11,0.0,0.01,0.0,2.06,7776.0,1.14
Gabriel Magalhães,CB,14,0.0,0.01,0.0,1.66,9720.0,2.75
Gabriel Otegbayo,CB,14,0.0,0.0,0.0,1.62,9720.0,4.0
Gastón Álvarez,CB,13,0.0,0.01,0.0,1.64,9720.0,5.0
Gautier Lloris,CB,13,0.0,0.01,0.0,1.66,9720.0,5.0
Geoffrey Kondo,CB,11,0.0,0.01,0.0,1.64,9720.0,7.0
George Ilenikhena,CB,5,0.0,0.0,0.0,5.06,3024.0,0.0
Gernot Trauner,CB,12,0.0,0.014,0.0,2.035,7776.0,4.87
Giacomo Bonaventura,CB,12,0.0,0.0,0.0,1.73,9180.0,5.685
