STATISTIQUES          ,2026-04-25 (Arsenal vs Newcastle United),2026-04-19 (Manchester City vs Arsenal),2026-04-15 (Arsenal vs Sporting CP)  ,2026-04-11 (Arsenal vs Bournemouth),2026-04-07 (Sporting CP vs Arsenal)  ,2026-04-04 (Southampton vs Arsenal),2026-03-27 (Spain vs Serbia),2026-03-22 (Arsenal vs Manchester City),2026-03-17 (Arsenal vs Bayer 04 Leverkusen),2026-03-14 (Arsenal vs Everton),2026-03-11 (Bayer 04 Leverkusen vs Arsenal),2026-03-04 (Brighton & Hove Albion vs Arsenal),2026-03-01 (Arsenal vs Chelsea),2026-02-22 (Tottenham Hotspur vs Arsenal),2026-02-18 (Wolverhampton vs Arsenal),Minutes_Played,Touches,Ball_Recovery,Successful_Dribbles,Interceptions,Tackles,distanceRun,sprints,kpi_work_rate,kpi_explosivity
minutesPlayed         ,81                                      ,84                                     ,90                                   ,76                                 ,90                                   ,11                                 ,13                          ,90                                     ,68                                         ,74                             ,90                                         ,80                                            ,90                             ,90                                       ,90                                   ,0,0,0,0,0,0,,,0.0,0.0
distanceRun           ,                                        ,                                       ,                                     ,                                   ,                                     ,                                   ,                            ,                                       ,                                           ,                               ,                                           ,                                              ,                               ,                                         ,                                     ,0,0,0,0,0,0,,,0.0,0.0
sprints               ,                                        ,                                       ,                                     ,                                   ,                                     ,                                   ,                            ,                                       ,                                           ,                               ,                                           ,                                              ,                               ,                                         ,                                     ,0,0,0,0,0,0,,,0.0,0.0
kpi_work_rate_m_min   ,0.0                                     ,0.0                                    ,0.0                                  ,0.0                                ,0.0                                  ,0.0                                ,0.0                         ,0.0                                    ,0.0                                        ,0.0                            ,0.0                                        ,0.0                                           ,0.0                            ,0.0                                      ,0.0                                  ,0,0,0,0,0,0,,,0.0,0.0
kpi_explosivity_index ,0.0                                     ,0.0                                    ,0.0                                  ,0.0                                ,0.0                                  ,0.0                                ,0.0                         ,0.0                                    ,0.0                                        ,0.0                            ,0.0                                        ,0.0                                           ,0.0                            ,0.0                                      ,0.0                                  ,0,0,0,0,0,0,,,0.0,0.0
goals                 ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
assists               ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
expectedGoals         ,0.07                                    ,0.0                                    ,0.01                                 ,0.0                                ,0.0                                  ,0.0                                ,0.0                         ,0.0                                    ,0.0                                        ,0.1                            ,0.0                                        ,0.03                                          ,0.08                           ,0.0                                      ,0.0                                  ,0,0,0,0,0,0,,,0.0,0.0
expectedAssists       ,0.02                                    ,0.0                                    ,0.04                                 ,0.01                               ,0.06                                 ,0.0                                ,0.0                         ,0.0                                    ,0.02                                       ,0.12                           ,0.05                                       ,0.0                                           ,0.21                           ,0.02                                     ,0.02                                 ,0,0,0,0,0,0,,,0.0,0.0
accuratePass          ,41                                      ,20                                     ,48                                   ,29                                 ,58                                   ,12                                 ,13                          ,23                                     ,33                                         ,52                             ,57                                         ,21                                            ,21                             ,45                                       ,46                                   ,0,0,0,0,0,0,,,0.0,0.0
totalPass             ,48                                      ,27                                     ,54                                   ,38                                 ,61                                   ,14                                 ,13                          ,33                                     ,41                                         ,60                             ,67                                         ,23                                            ,26                             ,56                                       ,55                                   ,0,0,0,0,0,0,,,0.0,0.0
passAccuracyPct       ,85.4                                    ,74.1                                   ,88.9                                 ,76.3                               ,95.1                                 ,85.7                               ,100.0                       ,69.7                                   ,80.5                                       ,86.7                           ,85.1                                       ,91.3                                          ,80.8                           ,80.4                                     ,83.6                                 ,0,0,0,0,0,0,,,0.0,0.0
keyPass               ,1                                       ,0                                      ,2                                    ,0                                  ,1                                    ,0                                  ,0                           ,1                                      ,1                                          ,1                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
accurateCross         ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
totalCross            ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,1                                             ,0                              ,1                                        ,1                                    ,0,0,0,0,0,0,,,0.0,0.0
accurateLongBalls     ,1                                       ,0                                      ,0                                    ,1                                  ,0                                    ,0                                  ,1                           ,1                                      ,1                                          ,0                              ,2                                          ,1                                             ,2                              ,1                                        ,1                                    ,0,0,0,0,0,0,,,0.0,0.0
totalLongBalls        ,1                                       ,2                                      ,2                                    ,5                                  ,2                                    ,0                                  ,1                           ,4                                      ,1                                          ,2                              ,4                                          ,1                                             ,3                              ,4                                        ,1                                    ,0,0,0,0,0,0,,,0.0,0.0
totalShot             ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
onTargetScoringAttempt,0                                       ,0                                      ,1                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,0                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
shotOffTarget         ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,1                              ,0                                          ,1                                             ,1                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
blockedScoringAttempt ,1                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                           ,0                                      ,0                                          ,1                              ,0                                          ,0                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
wonContest            ,1                                       ,0                                      ,0                                    ,0                                  ,1                                    ,0                                  ,0                           ,0                                      ,0                                          ,1                              ,0                                          ,1                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
totalContest          ,2                                       ,0                                      ,0                                    ,1                                  ,1                                    ,0                                  ,0                           ,0                                      ,0                                          ,1                              ,0                                          ,1                                             ,0                              ,0                                        ,0                                    ,0,0,0,0,0,0,,,0.0,0.0
