STATISTIQUES          ,2026-04-25 (Arsenal vs Newcastle United),2026-04-19 (Manchester City vs Arsenal),2026-04-15 (Arsenal vs Sporting CP)  ,2026-04-11 (Arsenal vs Bournemouth),2026-04-07 (Sporting CP vs Arsenal)  ,2026-04-04 (Southampton vs Arsenal),2026-03-31 (Sweden vs Poland),2026-03-26 (Ukraine vs Sweden),2026-03-22 (Arsenal vs Manchester City),2026-03-17 (Arsenal vs Bayer 04 Leverkusen),2026-03-14 (Arsenal vs Everton),2026-03-11 (Bayer 04 Leverkusen vs Arsenal),2026-03-07 (Mansfield Town vs Arsenal),2026-03-04 (Brighton & Hove Albion vs Arsenal),2026-03-01 (Arsenal vs Chelsea),Minutes_Played,Touches,Ball_Recovery,Successful_Dribbles,Interceptions,Tackles,distanceRun,sprints,kpi_work_rate,kpi_explosivity
kpi_work_rate_m_min   ,0.0                                     ,0.0                                    ,0.0                                  ,0.0                                ,0.0                                  ,0.0                                ,0.0                          ,0.0                           ,0.0                                    ,0.0                                        ,0.0                            ,0.0                                        ,0.0                                   ,0.0                                           ,0.0                            ,0,0,0,0,0,0,,,0.0,0.0
kpi_explosivity_index ,0.0                                     ,0.0                                    ,0.0                                  ,0.0                                ,0.0                                  ,0.0                                ,0.0                          ,0.0                           ,0.0                                    ,0.0                                        ,0.0                            ,0.0                                        ,0.0                                   ,0.0                                           ,0.0                            ,0,0,0,0,0,0,,,0.0,0.0
goals                 ,0                                       ,0                                      ,0                                    ,1                                  ,0                                    ,1                                  ,1                            ,3                             ,0                                      ,0                                          ,1                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
assists               ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                            ,0                             ,0                                      ,0                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
expectedGoals         ,0.03                                    ,0.0                                    ,0.17                                 ,1.02                               ,0.44                                 ,0.0                                ,0.0                          ,0.0                           ,0.0                                    ,0.09                                       ,0.99                           ,0.0                                        ,0.0                                   ,0.0                                           ,0.03                           ,0,0,0,0,0,0,,,0.0,0.0
expectedAssists       ,0.01                                    ,0.0                                    ,0.03                                 ,0.01                               ,0.01                                 ,0.0                                ,0.0                          ,0.0                           ,0.0                                    ,0.15                                       ,0.0                            ,0.25                                       ,0.0                                   ,0.02                                          ,0.05                           ,0,0,0,0,0,0,,,0.0,0.0
accuratePass          ,5                                       ,0                                      ,5                                    ,6                                  ,7                                    ,5                                  ,10                           ,9                             ,3                                      ,12                                         ,2                              ,11                                         ,0                                     ,7                                             ,6                              ,0,0,0,0,0,0,,,0.0,0.0
totalPass             ,6                                       ,0                                      ,9                                    ,13                                 ,9                                    ,5                                  ,15                           ,15                            ,7                                      ,20                                         ,6                              ,16                                         ,0                                     ,15                                            ,12                             ,0,0,0,0,0,0,,,0.0,0.0
passAccuracyPct       ,83.3                                    ,0.0                                    ,55.6                                 ,46.2                               ,77.8                                 ,100.0                              ,66.7                         ,60.0                          ,42.9                                   ,60.0                                       ,33.3                           ,68.8                                       ,0.0                                   ,46.7                                          ,50.0                           ,0,0,0,0,0,0,,,0.0,0.0
keyPass               ,1                                       ,0                                      ,1                                    ,0                                  ,0                                    ,1                                  ,0                            ,0                             ,0                                      ,1                                          ,0                              ,1                                          ,0                                     ,1                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
accurateCross         ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,0                                  ,0                            ,0                             ,0                                      ,1                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
totalCross            ,0                                       ,0                                      ,0                                    ,0                                  ,0                                    ,1                                  ,0                            ,0                             ,1                                      ,1                                          ,0                              ,0                                          ,0                                     ,0                                             ,0                              ,0,0,0,0,0,0,,,0.0,0.0
