Nom,Age,Match_Date,Home_Team,Away_Team,Tournament,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Position_SofaScore,Poste_Cat
Peter Remmert,20,2026-04-15,Sportfreunde Lotte,FC Schalke 04 II U23,Regionalliga West,,0,,0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Peter Remmert,20,2025-11-08,FC Schalke 04,SV 07 Elversberg,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Peter Remmert,20,2025-11-01,Karlsruher SC,FC Schalke 04,2. Bundesliga,6.1,18,,0,0.0,0,0,0.18,0.0,0,0,0,0,0,0,1,2,F,ATT
Peter Remmert,20,2025-10-29,Darmstadt 98,FC Schalke 04,DFB Pokal,6.6,27,,0,0.0,0,0,0.0,0.0,2,2,0,0,0,0,0,6,F,ATT
Peter Remmert,20,2025-10-25,SSVg Velbert,FC Schalke 04 II U23,Regionalliga West,,0,,0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Peter Remmert,20,2025-08-09,1. FC Kaiserslautern,FC Schalke 04,2. Bundesliga,6.6,45,,0,0.0,0,0,0.0,0.12,2,2,0,0,0,0,1,12,F,ATT
Peter Remmert,20,2025-08-01,FC Schalke 04,Hertha BSC,2. Bundesliga,6.8,61,,0,0.0,0,0,0.32,0.28,7,8,3,0,0,0,3,24,F,ATT
Peter Remmert,20,2025-05-10,FC Schalke 04 II U23,Fortuna Düsseldorf II U23,Regionalliga West,,0,,0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Peter Remmert,20,2025-05-02,FC Schalke 04,SC Paderborn 07,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Peter Remmert,20,2025-04-19,SC Rot-Weiß Oberhausen,FC Schalke 04 II U23,Regionalliga West,,0,,0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
